id,name,abbreviation,alternative_name,slug
3,Linux,Linux,GNU/Linux,linux
4,Nintendo 64,N64,N64,n64
5,Wii,Wii,Revolution,wii
6,PC (Microsoft Windows),PC,mswin,win
7,PlayStation,PS1,"PSX, PSOne, PS",ps
8,PlayStation 2,PS2,PS2,ps2
9,PlayStation 3,PS3,PS3,ps3
11,Xbox,XBOX,,xbox
12,Xbox 360,X360,X360,xbox360
13,DOS,DOS,PC DOS,dos
14,Mac,Mac,Mac OS,mac
15,Commodore C64/128/MAX,C64,C64/C128/MAX,c64
16,Amiga,Amiga,Commodore Amiga,amiga
18,Nintendo Entertainment System,NES,NES,nes
19,Super Nintendo Entertainment System,SNES,"SNES, Super Nintendo",snes
20,Nintendo DS,NDS,NDS,nds
21,Nintendo GameCube,NGC,GCN,ngc
22,Game Boy Color,GBC,GBC,gbc
23,Dreamcast,DC,DC,dc
24,Game Boy Advance,GBA,GBA,gba
25,Amstrad CPC,ACPC,Colour Personal Computer,acpc
26,ZX Spectrum,ZXS,,zxs
27,MSX,MSX,,msx
29,Sega Mega Drive/Genesis,Genesis/MegaDrive,Sega Genesis,genesis-slash-megadrive
30,Sega 32X,Sega32,,sega32
32,Sega Saturn,Saturn,"JVC Saturn, Hi-Saturn, Samsung Saturn, V-Saturn",saturn
33,Game Boy,Game Boy,GB,gb
34,Android,Android,Infocusa3,android
35,Sega Game Gear,Game Gear,GG,gamegear
37,Nintendo 3DS,3DS,3DS,3ds
38,PlayStation Portable,PSP,PSP,psp
39,iOS,iOS,,ios
41,Wii U,WiiU,Project Cafe,wiiu
42,N-Gage,NGage,NGage,ngage
44,Tapwave Zodiac,zod,,zod
46,PlayStation Vita,Vita,PS Vita,psvita
47,Virtual Console,VC,VC,vc
48,PlayStation 4,PS4,PS4,ps4--1
49,Xbox One,XONE,XONE,xboxone
50,3DO Interactive Multiplayer,3DO,3DO,3do
51,Family Computer Disk System,fds,"Famicom Disk System, FDS",fds
52,Arcade,Arcade,,arcade
53,MSX2,MSX2,,msx2
55,Legacy Mobile Device,Mobile,Legacy Cellphone,mobile
57,WonderSwan,WonderSwan,WS,wonderswan
58,Super Famicom,SFAM,SFC,sfam
59,Atari 2600,Atari2600,Atari VCS,atari2600
60,Atari 7800,Atari7800,Atari 7800 ProSystem,atari7800
61,Atari Lynx,Lynx,,lynx
62,Atari Jaguar,Jaguar,,jaguar
63,Atari ST/STE,Atari-ST,,atari-st
64,Sega Master System/Mark III,SMS,"SMS, Mark III",sms
65,Atari 8-bit,Atari8bit,,atari8bit
66,Atari 5200,Atari5200,Atari 5200 SuperSystem,atari5200
67,Intellivision,intellivision,,intellivision
68,ColecoVision,colecovision,Coleco,colecovision
69,BBC Microcomputer System,bbcmicro,BBC Micro,bbcmicro
70,Vectrex,vectrex,,vectrex
71,Commodore VIC-20,vic-20,,vic-20
72,Ouya,Ouya,,ouya
73,BlackBerry OS,blackberry,,blackberry
74,Windows Phone,Win Phone,WP,winphone
75,Apple II,Apple][,apple ][,appleii
77,Sharp X1,x1,,x1
78,Sega CD,segacd,Mega CD,segacd
79,Neo Geo MVS,neogeomvs,Neo Geo Multi Video System,neogeomvs
80,Neo Geo AES,neogeoaes,AES,neogeoaes
82,Web browser,browser,Internet,browser
84,SG-1000,sg1000,Sega Game 1000,sg1000
85,Donner Model 30,donner30,,donner30
86,TurboGrafx-16/PC Engine,turbografx16,TG16,turbografx16--1
87,Virtual Boy,virtualboy,VB,virtualboy
88,Odyssey,odyssey,Magnavox Odyssey; Odysee; Odisea; Odissea,odyssey--1
89,Microvision,microvision,,microvision--1
90,Commodore PET,cpet,,cpet
91,Bally Astrocade,astrocade,Bally Arcade,astrocade
93,Commodore 16,C16,C16,c16
94,Commodore Plus/4,C+4,,c-plus-4
95,PDP-1,pdp1,Programmed Data Processor-1,pdp1
96,PDP-10,pdp10,,pdp10
97,PDP-8,pdp-8,,pdp-8--1
98,DEC GT40,gt40,,gt40
99,Family Computer,famicom,Famicom,famicom
100,Analogue electronics,analogueelectronics,,analogueelectronics
101,Ferranti Nimrod Computer,nimrod,,nimrod
102,EDSAC,edsac,Electronic Delay Storage Automatic Calculator,edsac--1
103,PDP-7,pdp-7,,pdp-7--1
104,HP 2100,hp2100,,hp2100
105,HP 3000,hp3000,,hp3000
106,SDS Sigma 7,sdssigma7,,sdssigma7
107,Call-A-Computer time-shared mainframe computer system,call-a-computer,,call-a-computer
108,PDP-11,pdp11,,pdp11
109,CDC Cyber 70,cdccyber70,,cdccyber70
110,PLATO,plato,Programmed Logic for Automatic Teaching Operations,plato--1
111,Imlac PDS-1,imlac-pds1,,imlac-pds1
112,Microcomputer,microcomputer,,microcomputer--1
113,OnLive Game System,,,onlive-game-system
114,Amiga CD32,,,amiga-cd32
115,Apple IIGS,,,apple-iigs
116,Acorn Archimedes,,,acorn-archimedes
117,Philips CD-i,,,philips-cd-i
118,FM Towns,,,fm-towns
119,Neo Geo Pocket,,NGP,neo-geo-pocket
120,Neo Geo Pocket Color,,NGPC,neo-geo-pocket-color
121,Sharp X68000,,,sharp-x68000
122,Nuon,,,nuon
123,WonderSwan Color,,WSC,wonderswan-color
124,SwanCrystal,,,swancrystal
125,PC-8800 Series,,,pc-8800-series
126,TRS-80,,,trs-80
127,Fairchild Channel F,,,fairchild-channel-f
128,PC Engine SuperGrafx,supergrafx,SuperGrafx,supergrafx
129,Texas Instruments TI-99,ti-99,Texas Instruments TI-99/4A,ti-99
130,Nintendo Switch,Switch,NX,switch
131,Super NES CD-ROM System,,SNES-CD,super-nes-cd-rom-system
132,Amazon Fire TV,,,amazon-fire-tv
133,Odyssey 2 / Videopac G7000,,Magnavox Odyssey²,odyssey-2-slash-videopac-g7000
134,Acorn Electron,,,acorn-electron
135,Hyper Neo Geo 64,,,hyper-neo-geo-64
136,Neo Geo CD,,NGCD,neo-geo-cd
137,New Nintendo 3DS,,n3DS,new-nintendo-3ds
138,VC 4000,,,vc-4000
139,1292 Advanced Programmable Video System,,,1292-advanced-programmable-video-system
140,AY-3-8500,,,ay-3-8500
141,AY-3-8610,,,ay-3-8610
142,PC-50X Family,,,pc-50x-family
143,AY-3-8760,,,ay-3-8760
144,AY-3-8710,,,ay-3-8710
145,AY-3-8603,,,ay-3-8603
146,AY-3-8605,,,ay-3-8605
